"FullAddress", "Speed"
"1.234.28.160:80","430"
"1.234.28.114:80","440"
"1.207.245.184:80","850"
"1.234.28.20:80","385"
"1.234.28.18:80","570"
"1.234.28.36:80","383"
"1.255.53.81:80","198"
"1.234.28.42:80","393"
"1.34.41.181:80","537"
"1.34.70.247:80","116"
"101.108.63.224:8080","655"
"101.108.236.231:8080","2321"
"101.127.219.180:8080","1122"
"101.200.170.248:80","7799"
"101.255.51.47:8080","803"
"101.64.239.138:8080","105"
"101.64.239.195:8080","98"
"101.255.62.202:80","15247"
"103.10.52.200:8080","20549"
"103.23.139.20:80","1971"
"103.244.12.130:8080","912"
"103.242.107.132:8080","4023"
"103.251.43.53:80","896"
"103.253.146.197:8080","747"
"103.252.169.22:8080","6011"
"103.39.156.153:8080","920"
"103.27.65.57:80","4236"
"103.4.166.203:8080","817"
"103.39.49.204:8080","2894"
"103.54.219.18:8080","9687"
"104.236.48.178:8080","559"
"105.235.106.59:8080","2943"
"107.20.210.210:80","1273"
"105.235.106.62:8080","3846"
"109.123.100.148:80","883"
"109.123.100.65:80","517"
"109.167.97.218:8080","30841"
"109.207.49.250:8080","716"
"109.207.49.46:8080","933"
"108.59.10.129:55555","42241"
"109.207.52.217:8080","690"
"109.207.53.26:8080","683"
"109.207.52.209:8080","3745"
"109.235.212.230:8080","631"
"109.239.58.73:80","496"
"109.236.110.114:8080","21217"
"109.69.1.47:80","579"
"109.69.2.125:8080","47519"
"110.77.214.244:8080","5923"
"110.78.187.88:8080","26675"
"111.84.229.144:8080","1472"
"111.90.189.94:80","898"
"112.124.113.155:80","140"
"112.101.80.171:9797","3723"
"112.124.4.151:80","325"
"112.140.160.20:80","508"
"112.78.5.152:80","448"
"113.108.67.59:8080","85"
"113.108.82.29:80","85"
"113.108.82.29:8080","85"
"113.180.79.127:8080","3193"
"113.21.72.212:8080","4538"
"114.134.162.22:80","977"
"114.207.244.231:80","128"
"114.141.93.208:8080","3781"
"114.36.20.228:8998","5139"
"114.39.53.187:8998","20052"
"114.6.34.194:80","6323"
"115.124.73.122:80","13183"
"115.124.75.30:80","65379"
"109.172.106.3:9999 ","17360"
"46.101.120.250:80 ","18253"
"37.11.246.154:8080 ","5799"
"109.74.227.154:8080 ","2594"
"77.233.11.50:8080 ","12970"
"116.212.183.186:8080 ","40383"
"119.105.177.105:8118 ","40958"
"71.8.234.210:8080 ","41711"
"183.91.33.41:80 ","78"
"63.141.247.85:8080 ","1054"
"107.151.142.126:80 ","60416"
"203.176.183.170:8080 ","482"
"61.8.79.83:80 ","1068"
"181.112.156.149:8080 ","46309"
"54.201.175.33:8083 ","466"
"180.250.57.227:8080 ","10393"
"95.221.104.46:8080 ","3689"
"119.18.234.60:80 ","85"
