Name,Address,Phone Number,BBB Rating,Hours,General Info,Other Links
Foothill Water,CA Tujunga 7065 Foothill Blvd,(818) 951-9868,0,,,
C J Water & Delivery,CA La Crescenta 3918 Foothill Blvd,(818) 541-1887,0,"Mon - Fri 9:00 am - 6:00 pm, Sat - Sun 9:00 am - 4:00 pm",,
Sparkletts Water,CA Los Angeles 4500 York Blvd Bldg C,(888) 204-4881,0,"Mon - Fri 5:00 am - 8:00 pm, Sat 6:00 am - 5:00 pm, Sun 8:00 am - 5:00 pm",,
Sparkletts Water,CA Van Nuys 7817 Haskell Ave,(888) 983-5390,0,"Mon - Fri 5:00 am - 8:00 pm, Sat 6:00 am - 5:00 pm, Sun 8:00 am - 5:00 pm",,
Aqua Pura,CA Burbank 10970 Sherman Way # 109,(818) 565-0122,0,Mon - Sun 9:00 am - 8:00 pm,,
Glendale City Treasurer,CA Glendale 141 N Glendale Ave Ste 450,(818) 548-2066,0,"March 1-24 (Tues, Wed, Thurs, 10am-12pm) - Armenian Computer Workshops March 5 (Sat, from 10am-12pm) - Introductory Word March 12 (Sat, from 10am-12pm) - Intermediate Word March 19 (Sat, from 10am-12pm) - Excel April 5-28 (Tues, Wed, Thurs, from 9-11am) - Computer Club for Beginners April 16 (Sat, f",,
Central Water,CA Glendale 715 S Central Ave Ste C,(818) 553-3853,0,,,
Water for U,CA Glendale 730 S Central Ave,(818) 240-5458,0,,,
Pure Waterfall,CA Glendale 1109 E Chevy Chase Dr,(818) 550-1413,0,,,
Burbank Water & Power,CA Burbank 164 W Magnolia Blvd,(818) 238-3700,0,Mon - Fri 8:00 am - 5:00 pm,,
Kangen Water,CA Burbank 1307 N San Fernando Blvd,(818) 846-7351,0,,,
Crescenta Valley Water Dist,CA La Crescenta 2700 Foothill Blvd,(818) 248-3925,0,"Mon - Fri 8:00 am - 4:30 pm, Sat - Sun Closed",,
At Water World,CA Glendale 1101 W Glenoaks Blvd,(818) 549-9283,0,Mon - Sun 9:00 am - 9:00 pm,,
Highland Water and Ice,CA Glendale 834 W Glenoaks Blvd,(818) 240-7423,5,Mon - Fri 8:00 am - 4:30 pm,,
Hydra Blue Inc,CA La Crescenta 3857 Foothill Blvd Ste 16A,(818) 957-3600,0,,,
Water Store,CA La Crescenta 3918 Foothill Blvd,(818) 541-1887,0,"Mon - Sat 8:30 am - 7:30 pm, Sun 10:00 am - 5:00 pm",,
City-Glendale Water & Power,CA Glendale 800 Air Way,(818) 548-2011,0,Mon - Sun Open 24 Hours,,
Heghnar Akhbyur,CA Glendale 726 S Glendale Ave,(818) 244-7735,0,,,
